fon,borsa_kodu,isin_kod
GARANTİ PORTFÖY INN SERBEST (DÖVİZ) ÖZEL FON,GSS,TRYGAPO00235
GARANTİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,TGT,TRYGRAN00480
GARANTİ PORTFÖY KTT SERBEST (DÖVİZ) ÖZEL FON,GKK,TRYGAPO00243
GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,GAH,TRYGAPO00128
GARANTİ PORTFÖY OL SERBEST (DÖVİZ) ÖZEL FON,GFY,TRYGAPO00367
GARANTİ PORTFÖY ONBİRİNCİ SERBEST FON,GGZ,TRYGAPO00292
GARANTİ PORTFÖY ONUNCU SERBEST ÖZEL FON,GDL,TRYGAPO00227
GARANTİ PORTFÖY ONÜCÜNCÜ SERBEST (DÖVİZ) ÖZEL FON,GZD,TRYGAPO00383
GARANTİ PORTFÖY ONİKİNCİ SERBEST(DÖVİZ) FON,GGR,TRYGAPO00300
GARANTİ PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) ÖZEL FON,GGD,TRYGAPO00185
GARANTİ PORTFÖY YABANCI BYF FON SEPETİ FONU,GUH,TRYGRAN00571
GARANTİ PORTFÖY YEDİNCİ SERBEST (DÖVİZ) ÖZEL FON,GGA,TRYGAPO00193
GARANTİ PORTFÖY YF HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),GKL,TRYGAPO00375
GARANTİ PORTFÖY ÖPY SERBEST (DÖVİZ) ÖZEL FON,OPP,TRYGAPO00359
GARANTİ PORTFÖY ÖPY SERBEST ÖZEL FON,GSO,TRYGAPO00078
GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,GPU,TRYGAPO00045
GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,GAS,TRYGRAN00100
GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,GPI,TRYGAPO00037
GARANTİ PORTFÖY İKİNCİ PARA PİYASASI FONU,GAL,TRMGA4WWWWW7
GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,GPC,TRYGAPO00136
GEDİK PORTFÖY  ALTIN FON,GGK,TRYGEPO00104
GEDİK PORTFÖY ALFON SERBEST FON,GAN,TRYGEPO00054
GEDİK PORTFÖY BORÇLANMA ARAÇLARI FONU,GYK,TRYGDKM00028
GEDİK PORTFÖY BİRİNCİ DEĞİŞKEN FON,GPG,TRYGEPO00039
GEDİK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),GAF,TRMGAFWWWWW4
GEDİK PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,GAG,TRYGEPO00013
GEDİK PORTFÖY EGE SERBEST ÖZEL FON,GME,TRYGEPO00021
GEDİK PORTFÖY EVEREST SERBEST FON,GEI,TRYGEPO00088
GEDİK PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,GBG,TRYGDKM00036
GEDİK PORTFÖY KARMA FON,GAK,TRMGD1WWWWW0
GEDİK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,GYL,TRMGD2WWWWW8
GEDİK PORTFÖY MZ SERBEST ÖZEL FON,GMZ,TRYGEPO00096
GEDİK PORTFÖY SİLVER CAPİTAL SERBEST ÖZEL FON,GSM,TRYGEPO00070
GEDİK PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),GMR,TRYGDKM00010
GEDİK PORTFÖY İKİNCİ SERBEST FON,GKS,TRYGEPO00062
GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,ECA,TRMECKWWWWW5
GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),EC2,TRMEC2WWWWW1
GLOBAL MD PORTFÖY KATILIM FONU,GKF,TRYGMDP00043
GLOBAL MD PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,ECV,TRYECZM00015
GLOBAL MD PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU,ECT,TRYECZM00031
GLOBAL MD PORTFÖY PARA PİYASASI FONU,ECB,TRMEC1WWWWW3
GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,EBD,TRYECZM00023
HEDEF PORTFÖY AKDENİZ SERBEST FON,HYK,TRYHDFP00086
HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),NNF,TRYHDFP00060
HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),HDH,TRYHDFP00037
HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),HMK,TRYHDFP00045
HEDEF PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,HMR,TRYHDFP00052
HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİS.SEN.YOĞ.FON),HPF,TRYHDFP00029
HEDEF PORTFÖY PARA PIYASASI FONU,HYV,TRYHDFP00078
HEDEF PORTFÖY SERBEST FON,HDS,TRYHDFP00011
HSBC PORTFÖY ALTIN FONU,HBF,TRMDAFWWWWW1
HSBC PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,HDB,TRYHSPO00011
HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),HBU,TRMDUFWWWWW9
HSBC PORTFÖY DEĞİŞKEN FON,HSA,TRMDM1WWWWW2
HSBC PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),HVS,TRYHSBC00016
HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,HPT,TRYHSBC00362
HSBC PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU,HST,TRMDBTWWWWW0
HSBC PORTFÖY PARA PİYASASI FONU,HSL,TRMDM2WWWWW0
HSBC PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,HTT,TRMDBLWWWWW7
HSBC PORTFÖY YABANCI BYF FON SEPETI,HOY,TRYHSBC00479
HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,HPO,TRYHSBC00198
HSBC PORTFÖY ÇOKLU VARLIK ÜÇÜNCÜ DEĞİŞKEN FON,HOA,TRYHSBC00461
HSBC PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,HPD,TRYHSBC00180
HSBC PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,HOB,TRYHSBC00453
HSBC PYŞ BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,HII,TRYHSPO00029
ICBC TURKEY PORTFOY PARA PİYASASI FONU,ICE,TRMTL1WWWWW5
ICBC TURKEY PORTFÖY ALTIN FONU,ICA,TRYTKSB00014
ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON,ICD,TRMTL2WWWWW3
ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),ICF,TRMTL3WWWWW1
ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,ICS,TRYICBC00018
ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,ICC,TRMTMDWWWWW7
INVESTRADE PORTFÖY BİRİNCİ KATILIM SERBEST FON,IIB,TRYINVP00015
INVESTRADE PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,ITK,TRYINVP00031
KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,KRC,TRYKARE00036
KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,KRF,TRYKARP00016
KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,KUB,TRYKARE00044
KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),KYA,TRYKARE00010
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,TRYKARE00051
KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,KRT,TRYKARP00024
KARE PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,KPB,TRYKARP00032
KATILIM EMEKLİLİK VE HAYAT A.Ş. EMLAK KATILIM BANKASI KATILIM DEĞİŞKEN  EMEKLİLİK YATIRIM FONU,KED,TRYKATE00149
KT PORTFÖY BİRİNCİ KATILIM FONU,KTM,TRYKTPY00012
KT PORTFÖY BİRİNCİ KATILIM SERBEST FON,KTR,TRYKTPY00038
KT PORTFÖY CEYLAN KİRA SERTİFİKALARI KATILIM SERBEST(DÖVİZ) ÖZEL FON,KTE,TRYKTPY00129
KT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),KPC,TRYKTPY00186
KT PORTFÖY KISA VADELİ KATILIM SERBEST FON,KSV,TRYKTPY00160
KT PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,KTV,TRYKTPY00061
KT PORTFÖY KIZILAY'A DESTEK ALTIN KATILIM FONU,KZL,TRYKTPY00152
KT PORTFÖY KÜRESEL KİRA SERTİFİKALARI (DÖVİZ) SERBEST FON,KTT,TRYKTPY00053
KT PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,KTN,TRYKTPY00020
KT PORTFÖY NEOVA KATILIM SERBEST ÖZEL FON,KTU,TRYKTPY00079
KT PORTFÖY SEPET HESAP KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,ZAY,TRYKTPY00178
KT PORTFÖY İKİNCİ KATILIM SERBEST FON,KTS,TRYKTPY00046
LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,IDD,TRYISMD00167
MAQASİD PORTFÖY İKİNCİ  KATILIM SERBEST FON,MSH,TRYMQPY00022
MAQASİD PYŞ ALTIN KATILIM FONU,MMA,TRYMQPY00055
MAQASİD PYŞ BİRİNCİ KATILIM SERBEST(DÖVİZ)FON,MSB,TRYMQPY00014
MAQASİD PYŞ KISA VADELİ KATILIM SERBEST FON,MVK,TRYMQPY00030
MARMARA CAPITAL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),MAC,TRYSRMD00010
MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,MAD,TRMMADWWWWW7
MEKSA PORTFÖY PRİME SERBEST FON,MPP,TRYMKSP00019
MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,MBL,TRMMAKWWWWW2
MÜKAFAT PORTFÖY AKTİF ONİKS SERBEST FON,ONN,TRYMKFT00141
MÜKAFAT PORTFÖY AKTİF SERBEST (DÖVİZ) FON,MKH,TRYMKFT00158
MÜKAFAT PORTFÖY ALTIN KATILIM FONU,MKG,TRYMKFT00166
MÜKAFAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),MMH,TRYMKFT00174
MÜKAFAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,ESG,TRYMKFT00182
MÜKAFAT PORTFÖY KATILIM AKTIF SERBEST (DÖVIZ) FON,MPD,TRYMKFT00117
MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),MPS,TRYMKFT00018
MÜKAFAT PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM FONU,MPF,TRYMKFT00034
MÜKAFAT PORTFÖY KİRA SERTİFİKASI KATILIM FONU,MPK,TRYMKFT00026
MÜKAFAT PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,MPN,TRYMKFT00133
NUROL MENKUL KIYMETLER A.Ş. (A) TİPİ DEĞİŞKEN FONU,NU1,TRMNU1WWWWW0
NUROL MENKUL KIYMETLER A.Ş. (B) TİPİ DEĞİŞKEN FONU,NBD,TRMNBDWWWWW3
OSMANLI PORTFÖY ANKA SERBEST FON,OPD,TRYOSMP00078
OSMANLI PORTFÖY AVRASYA SERBEST (DÖVİZ) FON,OSC,TRYOSMP00011
OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,OPB,TRYOSMP00060
OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),OPH,TRYOSMP00094
OSMANLI PORTFÖY KAPTAN SERBEST (DÖVİZ) FON,OOK,TRYOSMP00102
OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,OSL,TRYONCM00010
OSMANLI PORTFÖY MİNERVA SERBEST FON,OSH,TRYOSMK00038
OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,OSD,TRYOSMP00029
OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),OPI,TRYOSMP00086
OYAK PORTFÖY ALTIN KATILIM FONU,OGD,TRYOYKP00138
OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,OKT,TRYOYMD00064
OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,OKD,TRYOYMD00072
OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),OHB,TRYOYKP00039
OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,OTK,TRYOYKP00013
OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI FONU,OKP,TRYOYKP00088
OYAK PORTFÖY BİRİNCİ PARA PİYASASI FONU,OYL,TRYOYMD00015
OYAK PORTFÖY BİRİNCİ SERBEST FON,OYT,TRYOYMD00023
OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,ODD,TRYOYKP00104
OYAK PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM FONU,OTF,TRYOYKP00021
OYAK PORTFÖY OYAK ÜYELERI İLE ÇALIŞANLARıNA YÖNELİK BORÇLANMA ARAÇLARI ÖZEL FONU,OGF,TRYOYKP00054
OYAK PORTFÖY ÜÇÜNCÜ SERBEST FON,OYS,TRYOYKP00062
OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,OBP,TRYOYMD00049
OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,ODS,TRYOYKP00047
PERFORM PORTFÖY BIRINCI SERBEST FON,IPP,TRYISMD00308
PERFORM PORTFÖY SERBEST ( DÖVİZ ) FON,PPD,TRYPEPO00014
PERFORM PORTFÖY İKİNCİ SERBEST FON,IPF,TRYISMD00316
QINVEST PORTFOY ELZ SERBEST (DÖVİZ) ÖZEL FON,ELZ,TRYQPYS00011
QNB FINANS PORTFÖY BIRINCI DEĞIŞKEN FON,FNO,TRYFNBK00063
QNB FINANS PORTFÖY BIRINCI HISSE SENEDI FONU (HISSE SENEDI YOĞUN FON),FYD,TRMFYDWWWWW1
QNB FINANS PORTFÖY BORÇLANMA ARAÇLARI FONU,FI3,TRMFI3WWWWW2
QNB FINANS PORTFÖY EUROBOND BORÇLANMA ARAÇLARI FONU,FUB,TRYFNBK00022
QNB FINANS PORTFÖY KISA VADELI BORÇLANMA ARAÇLARI FONU,FYT,TRYFNYM00012
QNB FINANS PORTFÖY PARA PIYASASI FONU,FI5,TRMFI5WWWWW7
QNB FINANS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,FYO,TRMFYKWWWWW6
QNB FİNANS PORTFÖY BAYSAN SERBEST (DÖVİZ) ÖZEL FON,FUP,TRYFIPO00073
QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,FPZ,TRYFIPO00065
QNB FİNANS PORTFÖY KISA VADELİ SERBEST FON,FSK,TRYFIPO00123
QNB FİNANS PORTFÖY OPAL SERBEST (DÖVİZ) ÖZEL FON,OOP,TRYFIPO00131
QNB FİNANS PORTFÖY SER SERBEST (DÖVİZ) ÖZEL FON,FFO,TRYFIPO00107
QNB FİNANS PORTFÖY SULTAN SERBEST(DÖVİZ) ÖZEL FON,FDO,TRYFIPO00115
QNB FİNANS PORTFÖY VİZYON SERBEST (DÖVİZ) ÖZEL FON,FVS,TRYFIPO00099
QNB FİNANS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,NPP,TRYFIPO00149
QNB FİNANS PORTFÖY ŞEDELE SERBEST (DÖVİZ) ÖZEL FON,FUR,TRYFIPO00081
QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST FON,KSD,TRYQPYS00037
QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON,PBK,TRYQPYS00078
QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,PDF,TRYQPYS00052
QİNVEST PORTFÖY DEĞİŞKEN FON,EIB,TRYISVH00029
QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),EID,TRYISVH00011
QİNVEST PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM FONU,PDD,TRYQPYS00060
QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,KIS,TRYERPO00010
QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM FONU,EKF,TRYERPO00028
QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),IAS,TRYISMD00068
QİNVEST PORTFÖY PARA PİYASASI FONU,EIL,TRMAITWWWWW1
QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU,EIC,TRYERPO00036
QİNVEST PORTFÖY İKİNCİ SERBEST FON,KOP,TRYQPYS00029
RAYMOND JAMES MENKUL KIYMETLER  A TİPİ DEĞİŞKEN FON,RJA,TRYRJYM00015
RAYMOND JAMES MENKUL KIYMETLER A.Ş. (B)TİPİ LİKİT FON,RJL,TRMPRBWWWWW8
RAYMOND JAMES YATIRIM MENKUL KIYMETLER A.Ş. A TİPİ KARMA FONU,RJK,TRYRJYM00031
RAYMOND JAMES YATIRIM MENKUL KIYMETLER A.Ş. B TİPİ DEĞİŞKEN FONU,RJB,TRYRJYM00023
STRATEJİ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,SBS,TRYSTRP00035
STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,AN1,TRMAN1WWWWW4
STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),ST1,TRMST1WWWWW8
STRATEJİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,STS,TRYSTRP00019
STRATEJİ PORTFÖY FOREST SERBEST FON,FPR,TRYFKSP00021
STRATEJİ PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),STZ,TRYSTRP00027
STRATEJİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN),FYF,TRYFNYM00061
TACİRLER PORTFÖY DEĞIŞKEN FON,TCD,TRMTCDWWWWW8
TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TKF,TRMTA1WWWWW8
TACİRLER PORTFÖY KARTOPU SERBEST FON,TTL,TRYTACP00050
TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,TCB,TRYTCMD00010
TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON,TCC,TRYTCMD00028
TACİRLER PORTFÖY SİRİUS SERBEST FON,TCS,TRYTACP00035
TACİRLER PORTFÖY VEGA SERBEST FON,TTV,TRYTACP00043
TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TPF,TRYTACP00019
TACİRLER PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TCI,TRYTACP00027
TEB PORTFÖY ALARKO GRUBU DEĞİŞKEN ÖZEL FON,TAO,TRMAOFWWWWW8
TEB PORTFÖY ALTIN FONU,TUA,TRYTEBK00030
TEB PORTFÖY BEŞİNCİ SERBEST FON,TRR,TRYTEBP00153
TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,TBT,TRMTE1WWWWW4
TEB PORTFÖY BOĞAZİÇİ SERBEST (DÖVİZ) FON,TDB,TRYTEBK00246
TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,TPC,TRYTEBP00062
TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TPJ,TRYTEBP00070
TEB PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TTS,TRYTEBP00146
TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,TPL,TRYTEBP00054
TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TYH,TRMTYHWWWWW3
TEB PORTFÖY ING BANK PARA PİYASASI FONU,IGL,TRMSU1WWWWW5
TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON,TNI,TRYTEBP00120
TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM SERBEST (DÖVİZ) ÖZEL FON,TIP,TRYTEBP00112
TEB PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,TNK,TRMTE2WWWWW2
TEB PORTFÖY KYF SERBEST (DÖVİZ) ÖZEL FON,TVD,TRYTEBP00088
TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,TPZ,TRYTEBP00047
TEB PORTFÖY MAKRO SERBEST FON,TMR,TRYTEBP00161
TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,TE3,TRMTE3WWWWW0
TEB PORTFÖY PARA PİYASASI FONU,TKM,TRMDMFWWWWW6
TEB PORTFÖY PUSULA SERBEST FON,TPP,TRYTEBP00039
TEB PORTFÖY PY İKİNCİ DEĞİŞKEN ÖZEL FON,TKD,TRYTEBK00014
TEB PORTFÖY TEB GRUBU DEĞİŞKEN ÖZEL FON,TMO,TRYTEBM00036
TEB PORTFÖY TKT SERBEST (DÖVİZ) ÖZEL FON,TDT,TRYTEBP00104
TEB PORTFÖY YABANCI BYF FON SEPETİ FONU,TFF,TRYTEBP00021
TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TOT,TRMDPFWWWWW9
TEB PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,TTP,TRYTEBP00138
TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,IDY,TRYOYKB00013
TEB PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,TDP,TRYTEBP00096
YAPI KREDİ PORTFÖY ALTIN FONU,YKT,TRYYKBK00110
YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,YPL,TRYYAPO00097
YAPI KREDİ PORTFÖY BEBEK SERBEST (DÖVİZ) FON,YYB,TRYYAPO00170
YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YEF,TRMYEFWWWWW9
YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,YAN,TRYYAPO00063
YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YHS,TRMKC5WWWWW6
YAPI KREDİ PORTFÖY DRAGOS SERBEST  FON,YSF,TRYYAPO00055
YAPI KREDİ PORTFÖY EMİRGAN SERBEST (DÖVİZ) FON,YMM,TRYYAPO00154
YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,YBE,TRMKHYWWWWW2
YAPI KREDİ PORTFÖY GALATA SERBEST FON,YPK,TRYYAPO00022
YAPI KREDİ PORTFÖY KARMA FON,YAK,TRMYAKWWWWW7
YAPI KREDİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,YHT,TRYKCMD00019
YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),YAS,TRMKAKWWWWW6
YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,YFV,TRYYKBK00607
YAPI KREDİ PORTFÖY ODEABANK SERBEST (DÖVİZ)ÖZEL FON,YRO,TRYYAPO00113
YAPI KREDİ PORTFÖY ODEABANK İKİNCİ SERBEST ÖZEL FON,YOP,TRYYAPO00162
YAPI KREDİ PORTFÖY ODEABANK İKİNCİ SERBEST(DÖVİZ)ÖZEL FON,YRF,TRYYAPO00147
YAPI KREDİ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU,YOT,TRMKC4WWWWW9
YAPI KREDİ PORTFÖY PARA PİYASASI FONU,YLB,TRMKLYWWWWW4
YAPI KREDİ PORTFÖY PY BORÇLANMA ARAÇLARI (DÖVİZ) ÖZEL FONU,YOA,TRYYAPO00048
YAPI KREDİ PORTFÖY PY BİRİNCİ DEĞİŞKEN ÖZEL FON,YBP,TRMKBLWWWWW2
YAPI KREDİ PORTFÖY PY ERENKÖY  SERBEST (DÖVIZ) ÖZEL FON,YZF,TRYYAPO00188
YAPI KREDİ PORTFÖY PY KUZGUNCUK SERBEST ÖZEL FON,YPP,TRYYAPO00089
YAPI KREDİ PORTFÖY PY ÜÇÜNCÜ DEĞİŞKEN ÖZEL FON,YDP,TRYYKYM00019
YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,YTD,TRYYKBK00011
YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,YAY,TRMYK9WWWWW2
YAPI KREDİ PORTFÖY YEDİTEPE SERBEST FON,YPF,TRYYAPO00014
YAPI KREDİ PORTFÖY ÇALIŞAN HESAP KISA VADELİ BORÇLANMA ARAÇLARI FONU,YDK,TRYYKBK00474
YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,YBS,TRYYKBK00409
YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,YSU,TRYYKBK00524
YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,YPV,TRYYAPO00196
YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,YAC,TRYYAPO00071
YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YDI,TRYYKBK00458
YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,YKS,TRYYKBK00060
ZİRAAT PORTFÖY ALTIN KATILIM FONU,TCA,TRYTCZB00057
ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI FONU,TZT,TRYTCZB00040
ZİRAAT PORTFÖY BÜYÜYEN ÇOCUKLARA YÖNELİK DEĞİŞKEN ÖZEL FON,TZC,TRYTCZB00149
ZİRAAT PORTFÖY BİRİNCİ DEĞİŞKEN FON,ZDD,TRYZIPO00147
ZİRAAT PORTFÖY FON SEPETİ FONU,ZPC,TRYZIPO00071
ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU,HKV,TRMPM2WWWWW6
ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,HPV,TRYHALP00031
ZİRAAT PORTFÖY HALKBANK PARA PİYASASI FONU,HLL,TRYTHAL00017
ZİRAAT PORTFÖY HEDEF SERBEST ÖZEL FON,HPC,TRYHALP00049
ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TZD,TRMTZDWWWWW9
