fon,borsa_kodu,isin_kod
ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,ANZ,TRYATAP00039
ATA PORTFÖY FON SEPETİ SERBEST FONU,AAS,TRYATAM00028
ATA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,AUT,TRYATAM00044
ATA PORTFÖY PARA PİYASASI FONU,AAL,TRMAALWWWWW5
ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,AAK,TRMAF1WWWWW4
ATA PORTFÖY ÜÇÜNCÜ SERBEST FONU,DGH,TRYDSTK00010
ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),AAV,TRYATAM00069
ATA PORTFÖY İKİNCİ SERBEST FONU,AVC,TRYATAP00013
ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),AHI,TRYATLP00028
ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,AHU,TRYATLP00051
ATLAS PORTFÖY SERBEST(DÖVİZ)FON,AHN,TRYATLP00044
ATLAS PORTFÖY İKİNCİ SERBEST FON,ZVB,TRYATLP00077
AURA PORTFÖY DEĞİŞKEN FONU,IYB,TRMIYBWWWWW9
AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TLH,TRYTALP00010
AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,TLE,TRYTALP00028
AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,TPV,TRYTROY00028
AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON,SPE,TRYAZIM00184
AZIMUT PORTFÖY 6.0 SERBEST (DÖVIZ) FON,SPA,TRYAZIM00192
AZIMUT PORTFÖY BEG SERBEST (DÖVIZ) ÖZEL FON,SPD,TRYAZIM00218
AZIMUT PORTFÖY MAB SERBEST ÖZEL FON,FRA,TRYAZIM00226
AZIMUT PORTFÖY PİYASA NÖTR SERBEST FON,SPN,TRYAZIM00176
AZİMUT PORTFÖY 4.0 SERBEST FON,FYI,TRYAZIM00093
AZİMUT PORTFÖY 7.0 SERBEST (DÖVİZ) FON,GSE,TRYAZIM00267
AZİMUT PORTFÖY 8.0 SERBEST FON,PSL,TRYAZIM00374
AZİMUT PORTFÖY 9.0 SERBEST FON,PSG,TRYAZIM00366
AZİMUT PORTFÖY AKÇE SERBEST FON,PPF,TRYAZIM00309
AZİMUT PORTFÖY BB SERBEST (DÖVİZ) ÖZEL FON,PBB,TRYAZIM00283
AZİMUT PORTFÖY BEG SERBEST ÖZEL FON,SPG,TRYAZIM00200
AZİMUT PORTFÖY BOĞAZİÇİ SERBEST (DÖVİZ) FON,PBS,TRYAZIM00333
AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,AIR,TRYAZIM00036
AZİMUT PORTFÖY FRZ SERBEST ÖZEL FON,FRZ,TRYAZIM00234
AZİMUT PORTFÖY GÜREL SERBEST (DÖVİZ) ÖZEL FON,GSG,TRYAZIM00275
AZİMUT PORTFÖY IRF SERBEST (DÖVİZ) ÖZEL FON,PRF,TRYAZIM00317
AZİMUT PORTFÖY KAAN SERBEST ÖZEL FON,KFK,TRYAZIM00358
AZİMUT PORTFÖY PARA PİYASASI FONU,PPZ,TRYAZIM00341
AZİMUT PORTFÖY SARAY SERBEST FON,PSS,TRYAZIM00325
AZİMUT PORTFÖY SKY SERBEST (DÖVİZ) ÖZEL FON,SRY,TRYAZIM00259
AZİMUT PORTFÖY SKY SERBEST ÖZEL FON,SRO,TRYAZIM00242
AZİMUT PORTFÖY TESA SERBEST (DÖVİZ) ÖZEL FON,TSP,TRYAZIM00291
AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,AII,TRYAZIM00168
AZİMUT PORTFÖY ÇINAR SERBEST ÖZEL FON,ATJ,TRYAZIM00150
AZİMUT PORTFÖY ÖPY SERBEST ( DÖVİZ ) ÖZEL FON,FYG,TRYAZIM00077
AZİMUT PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,FYM,TRYFNYM00053
AZİMUT PORTFÖY İA SERBEST ÖZEL FON,AIG,TRYAZIM00028
AZİMUT PORTFÖY İVME SERBEST FON,HYP,TRYAZIM00382
AZİMUT PYŞ ATAK SERBEST FON,AHZ,TRYAZIM00101
AZİMUT PYŞ BKS SERBEST ( DÖVİZ ) ÖZEL FON,FYE,TRYAZIM00051
AZİMUT PYŞ BKS SERBEST ÖZEL FON,AZV,TRYAZIM00044
AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,GTF,TRMBD1WWWWW5
AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),GL1,TRMGL1WWWWW0
AZİMUT PYŞ BİRİNCİ SERBEST FON,IBG,TRYISMD00266
AZİMUT PYŞ DENGELİ SERBEST FON,AHV,TRYAZIM00135
AZİMUT PYŞ DİNAMİK DAĞILIMLI SERBEST FON,AHH,TRYAZIM00119
AZİMUT PYŞ EB SERBEST ( DÖVİZ ) ÖZEL FON,FYB,TRYAZIM00069
AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),GSP,TRMGLAWWWWW2
AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,GBL,TRMGBLWWWWW0
AZİMUT PYŞ KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,GLS,TRYGLMK00047
